更新国际化文件地址: E:\Quicktcon\evo-amr\evo-rcs-web-dev\2.8.2\server-plugins\server-map-editor-plugin\config\locale\en-US.js: 
>>>>mapEditor.menu 的更新记录：Map Editor  ---> Map Editor 
>>>>mapEditor.mapEditor.A1 的更新记录：Code Point Type  ---> Code Point Type 
>>>>mapEditor.mapEditor.A2 的更新记录：Path Point  ---> Path Point 
>>>>mapEditor.mapEditor.A3 的更新记录：Storage Point  ---> Storage Point 
>>>>mapEditor.mapEditor.B1 的更新记录：X Coordinates  ---> X Coordinates 
>>>>mapEditor.mapEditor.C1 的更新记录：Y Coordinates  ---> Y Coordinates 
>>>>mapEditor.mapEditor.problemWithXYIntegerValue 的更新记录：Coordinate({0},{1})exists decimal number，please check No.{2} line，modify correctly and import it again  ---> Coordinate({0},{1})exists decimal number，please check No.{2} line，modify correctly and import it again 
>>>>mapEditor.mapEditor.problemWithXYPositiveValue 的更新记录：Coordinate({0},{1})exists negative number，please check No.{2} line，modify correctly and import it again  ---> Coordinate({0},{1})exists negative number，please check No.{2} line，modify correctly and import it again 
>>>>mapEditor.mapEditor.problemWithPointTypeValue 的更新记录：Coordinate({0},{1})should not exists {2} point type，please check No.{3} line，modify correctly and import it again  ---> Coordinate({0},{1})should not exists {2} point type，please check No.{3} line，modify correctly and import it again 
>>>>mapEditor.mapEditor.genPath 的更新记录：Created Path  ---> Created Path 
>>>>mapEditor.mapEditor.spaceBetween 的更新记录：Space Between  ---> Space Between 
>>>>mapEditor.mapEditor.mapDataCheck 的更新记录：Map data check(R)  ---> Map data check(R) 
>>>>mapEditor.mapEditor.mapConnectivityCheck 的更新记录：Map Connectivity Check(C)  ---> Map Connectivity Check(C) 
>>>>mapEditor.mapEditor.guideLine 的更新记录：Guide Line  ---> Guide Line 
>>>>mapEditor.mapEditor.mapReset 的更新记录：Map Reset  ---> Reset 
>>>>mapEditor.mapEditor.mapAttribute 的更新记录：Map attribute(M)  ---> Map attribute(M) 
>>>>mapEditor.mapEditor.Obstacle 的更新记录：Obstacle(W)  ---> Obstacle(W) 
>>>>mapEditor.mapEditor.modifyDimensions 的更新记录：Modify Dimensions(S)  ---> Modify Dimensions(S) 
>>>>mapEditor.mapEditor.enforcementResults 的更新记录：Results Of Enforcement  ---> Results Of Enforcement 
>>>>mapEditor.mapEditor.close 的更新记录：Close  ---> Close 
>>>>mapEditor.mapEditor.mapPublish 的更新记录：Map Publish  ---> Map Publish 
>>>>mapEditor.mapEditor.pulishTip 的更新记录：[important] please confirm [map data check result] and [connectivity check result] and then release the new version of map file to the system  ---> [important] please confirm [map data check result] and [connectivity check result] and then release the new version of map file to the system 
>>>>mapEditor.mapEditor.modal.update 的更新记录：Publish  ---> Publish 
>>>>mapEditor.mapEditor.modal.updateAndOnline 的更新记录：Update And Online  ---> Update And Online 
>>>>mapEditor.mapEditor.modal.selectedVersion 的更新记录：Selected Version  ---> Selected Version 
>>>>mapEditor.mapEditor.version 的更新记录：Select map format version.  ---> Select map format version. 
>>>>mapEditor.mapEditor.oldVersion 的更新记录：Old Map Format Version (< 2.5.2)  ---> Old Map Format Version (< 2.5.2) 
>>>>mapEditor.mapEditor.newVersion 的更新记录：New Map Format Version (> = 2.5.2)  ---> New Map Format Version (> = 2.5.2) 
>>>>mapEditor.mapEditor.oldContent 的更新记录：The map pointcode format adopts the old format(Similar to 'WH_kckq_XA236B', it can be viewed by clicking the point attribute on the central control). If the system running is lower than 2.5.2 or the map currently used on site is generated before the system version 2.5.2, please select this option  ---> The map pointcode format adopts the old format(Similar to 'WH_kckq_XA236B', it can be viewed by clicking the point attribute on the central control). If the system running is lower than 2.5.2 or the map currently used on site is generated before the system version 2.5.2, please select this option 
>>>>mapEditor.mapEditor.newContent 的更新记录：Please select this option when the map pointcode format is in a new format(Similar to 'XA236B', it can be viewed by clicking the point attribute on the central control), the system version is higher than 2.5.2 (included), and the first version of the map is generated using the map editing tool after 2.5.2.{:warning}  ---> Please select this option when the map pointcode format is in a new format(Similar to 'XA236B', it can be viewed by clicking the point attribute on the central control), the system version is higher than 2.5.2 (included), and the first version of the map is generated using the map editing tool after 2.5.2.{:warning} 
>>>>mapEditor.mapEditor.warningMessage 的更新记录：If the current map is generated by the old system version, and the site is already in use, please do not select this item, otherwise the map pointcode will change, the location information of all objects will be lost, and the system will not be available!!  ---> If the current map is generated by the old system version, and the site is already in use, please do not select this item, otherwise the map pointcode will change, the location information of all objects will be lost, and the system will not be available!! 
>>>>mapEditor.mapEditor.customGuideLine 的更新记录：Custom Guide Line  ---> Custom Guide Line 
>>>>mapEditor.mapEditor.number 的更新记录：Quantity  ---> Quantity 
>>>>mapEditor.mapEditor.startingPoint 的更新记录：Starting point(mm)  ---> Starting point(mm) 
>>>>mapEditor.mapEditor.relativeDistance 的更新记录：Relative Distance(mm)  ---> Relative Distance(mm) 
>>>>mapEditor.mapEditor.spacing 的更新记录：Spacing(Mm)  ---> Spacing(Mm) 
>>>>mapEditor.mapEditor.customEdgeRelationship 的更新记录：Custom Edge Relationship  ---> Custom Edge Relationship 
>>>>mapEditor.mapEditor.direction 的更新记录：Direction  ---> Direction 
>>>>mapEditor.mapEditor.robotType 的更新记录：Robot Type  ---> Robot Type 
>>>>mapEditor.mapEditor.robotCarrierState 的更新记录：Transport State  ---> Transport State 
>>>>mapEditor.mapEditor.cost 的更新记录：Cost  ---> Cost 
>>>>mapEditor.mapEditor.maxSpeed 的更新记录：Maximum Speed  ---> Maximum Speed 
>>>>mapEditor.mapEditor.stopAllowedAtTerminal 的更新记录：Stop Allowed At End  ---> Stop Allowed At End 
>>>>mapEditor.mapEditor.availableAgvDirection 的更新记录：Robot Direction  ---> Robot Direction 
>>>>mapEditor.mapEditor.allow 的更新记录：Allow  ---> Allow 
>>>>mapEditor.mapEditor.forbidden 的更新记录：Disable  ---> Disable 
>>>>mapEditor.mapEditor.isCurvedTurn 的更新记录：Whether to force arc turning?  ---> Whether to force arc turning? 
>>>>mapEditor.mapEditor.controlPointsSet1 的更新记录：Arc Turn Control Point 1  ---> Arc Turn Control Point 1 
>>>>mapEditor.mapEditor.controlPointsSet2 的更新记录：Arc Turn Control Point 2  ---> Arc Turn Control Point 2 
>>>>mapEditor.mapEditor.ConnectivityCheck 的更新记录：Connectivity Check  ---> Connectivity Check 
>>>>mapEditor.mapEditor.mapFile 的更新记录：Map File  ---> Map File 
>>>>mapEditor.mapEditor.customEqualSpacingCodeValue 的更新记录：Custom Equal Spacing Code Value  ---> Custom Equal Spacing Code Value 
>>>>mapEditor.mapEditor.updateMode 的更新记录：Update Mode  ---> Update Mode 
>>>>mapEditor.mapEditor.globalUpdate 的更新记录：Global Update  ---> Global Update 
>>>>mapEditor.mapEditor.selectAreaUpdate 的更新记录：Select Area Update  ---> Select Area Update 
>>>>mapEditor.mapEditor.xCoefficient 的更新记录：X Coefficient  ---> X Coefficient 
>>>>mapEditor.mapEditor.xSpacing 的更新记录：X Spacing  ---> X Spacing 
>>>>mapEditor.mapEditor.yCoefficient 的更新记录：Y Coefficient  ---> Y Coefficient 
>>>>mapEditor.mapEditor.ySpacing 的更新记录：Y Spacing  ---> Y Spacing 
>>>>mapEditor.mapEditor.customUnequalSpacingCodeValue 的更新记录：Custom Unequal Spacing Code Value  ---> Custom Unequal Spacing Code Value 
>>>>mapEditor.mapEditor.startingPointEncoding 的更新记录：Starting Point Code  ---> Starting Point Code 
>>>>mapEditor.mapEditor.codePointInterval 的更新记录：Code Point Interval  ---> Code Point Interval 
>>>>mapEditor.mapEditor.deleteGuideLine 的更新记录：Delete Guide Line  ---> Delete Guide Line 
>>>>mapEditor.mapEditor.guideLineType 的更新记录：Guide Line Type  ---> Guide Line Type 
>>>>mapEditor.mapEditor.deleteCustomEdge 的更新记录：Delete Custom Edge  ---> Delete Custom Edge 
>>>>mapEditor.mapEditor.deletePpointAssociation 的更新记录：Delete Point Association  ---> Delete Point Association 
>>>>mapEditor.mapEditor.customPointAssociation 的更新记录：Custom Point Association  ---> Custom Point Association 
>>>>mapEditor.mapEditor.associatedDirection 的更新记录：Direction Of Association  ---> Direction Of Association 
>>>>mapEditor.mapEditor.associationType 的更新记录：Association Type  ---> Association Type 
>>>>mapEditor.mapEditor.orientation 的更新记录：Orientation  ---> Orientation 
>>>>mapEditor.mapEditor.instructionCode 的更新记录：Instruction Code  ---> Instruction Code 
>>>>mapEditor.mapEditor.relationPathCode 的更新记录：Unique Code  ---> Unique Code 
>>>>mapEditor.mapEditor.jumpX 的更新记录：Jump X Coordinate(mm)  ---> Jump X Coordinate(mm) 
>>>>mapEditor.mapEditor.jumpY 的更新记录：Jump Y Coordinate(mm)  ---> Jump Y Coordinate(mm) 
>>>>mapEditor.mapEditor.editMapProperties 的更新记录：Edit Map Properties  ---> Edit Map Properties 
>>>>mapEditor.mapEditor.currentVersion 的更新记录：Current Version  ---> Current Version 
>>>>mapEditor.mapEditor.historicalVersion 的更新记录：Historical Version  ---> Historical Version 
>>>>mapEditor.mapEditor.customVirtualWall 的更新记录：Custom Virtual Wall  ---> Custom Virtual Wall 
>>>>mapEditor.mapEditor.xCoordinates 的更新记录：X Coordinates(mm)  ---> X Coordinates(mm) 
>>>>mapEditor.mapEditor.yCoordinates 的更新记录：Y Coordinates(mm)  ---> Y Coordinates(mm) 
>>>>mapEditor.mapEditor.xAxisPositiveAngle 的更新记录：X-Axis Positive Angle(°)  ---> X-Axis Positive Angle(°) 
>>>>mapEditor.mapEditor.xAxisLength 的更新记录：X Axis Length(mm)  ---> X Axis Length(mm) 
>>>>mapEditor.mapEditor.yAxisLength 的更新记录：Y Axis Length(mm)  ---> Y Axis Length(mm) 
>>>>mapEditor.mapEditor.modal.modifyDimensions 的更新记录：Modify Dimensions  ---> Modify Dimensions 
>>>>mapEditor.mapEditor.modal.modifyDirection 的更新记录：Modify Direction  ---> Modify Direction 
>>>>mapEditor.mapEditor.xAxis 的更新记录：X Axis  ---> X Axis 
>>>>mapEditor.mapEditor.yAxis 的更新记录：Y Axis  ---> Y Axis 
>>>>mapEditor.mapEditor.modal.modifyLength 的更新记录：Modify Length(mm)  ---> Modify Length(mm) 
>>>>mapEditor.mapEditor.modal.enlargeSize 的更新记录：Enlarge Size  ---> Enlarge Size 
>>>>mapEditor.mapEditor.modal.reduceSize 的更新记录：Reduce Size  ---> Reduce Size 
>>>>mapEditor.mapEditor.pathPoints 的更新记录：Path Point  ---> Path Point 
>>>>mapEditor.mapEditor.storagePoint 的更新记录：Storage Point  ---> Storage Point 
>>>>mapEditor.mapEditor.onlineStop 的更新记录：Online Stop  ---> Online Stop 
>>>>mapEditor.mapEditor.offlineDocking 的更新记录：Offline Docking  ---> Offline Docking Point 
>>>>mapEditor.mapEditor.chargingPoint 的更新记录：Charging Point  ---> Charging Point 
>>>>mapEditor.mapEditor.entryPoint 的更新记录：Entry point  ---> Entry point 
>>>>mapEditor.mapEditor.auxiliaryPoint 的更新记录：Auxiliary Point  ---> Auxiliary Point 
>>>>mapEditor.mapEditor.forbiddenPoint 的更新记录：Forbidden Point  ---> Forbidden Point 
>>>>mapEditor.mapEditor.externalSetPoint 的更新记录：External Set Point  ---> External Set Point 
>>>>mapEditor.mapEditor.barCodeFormulaTip 的更新记录：Code value = (x / X code spacing + X offset) x factor + (Y / Y code spacing + y offset) y factor
Offset of x = code spacing of field X coordinate map X coordinate / X coordinate
Offset of y = site y coordinate - map y coordinate / code spacing of Y coordinate  ---> Code value = (x / X code spacing + X offset) x factor + (Y / Y code spacing + y offset) y factor
Offset of x = code spacing of field X coordinate map X coordinate / X coordinate
Offset of y = site y coordinate - map y coordinate / code spacing of Y coordinate 
>>>>mapEditor.mapEditor.mapLayer 的更新记录：Map Layer  ---> Map Layer 
>>>>mapEditor.mapEditor.codePoint 的更新记录：Code Point  ---> Code Point 
>>>>mapEditor.mapEditor.edgeRelationship 的更新记录：Edge Relationship  ---> Edge Relationship 
>>>>mapEditor.mapEditor.pointRelation 的更新记录：Point Relation  ---> Point Relation 
>>>>mapEditor.mapEditor.up 的更新记录：Up  ---> Up 
>>>>mapEditor.mapEditor.down 的更新记录：Down  ---> Down 
>>>>mapEditor.mapEditor.left 的更新记录：Left  ---> Left 
>>>>mapEditor.mapEditor.right 的更新记录：Right  ---> Right 
>>>>mapEditor.mapEditor.leftUpper 的更新记录：Left Upper  ---> Left Upper 
>>>>mapEditor.mapEditor.leftLower 的更新记录：Left Lower  ---> Left Lower 
>>>>mapEditor.mapEditor.rightUpper 的更新记录：Right Upper  ---> Right Upper 
>>>>mapEditor.mapEditor.rightLower 的更新记录：Right Lower  ---> Right Lower 
>>>>mapEditor.mapEditor.forward 的更新记录：Forward  ---> Forward 
>>>>mapEditor.mapEditor.backward 的更新记录：Backward  ---> Backward 
>>>>mapEditor.mapEditor.lateral 的更新记录：Lateral  ---> Lateral 
>>>>mapEditor.mapEditor.omnidirectional 的更新记录：Omnidirectional  ---> Omnidirectional 
>>>>mapEditor.mapEditor.groupCar 的更新记录：Group Car  ---> Group Car 
>>>>mapEditor.mapEditor.carToPersonOnline 的更新记录：A2P_ONLINE  ---> A2P_ONLINE 
>>>>mapEditor.mapEditor.goodsToPeopleOnline 的更新记录：G2P_Online  ---> G2P_Online 
>>>>mapEditor.mapEditor.goodsToPeopleOffline 的更新记录：G2P_Offline  ---> G2P_Offline 
>>>>mapEditor.mapEditor.supplyPackage 的更新记录：Sorting_Supply  ---> Sorting_Supply 
>>>>mapEditor.mapEditor.package 的更新记录：Package  ---> Sorting_Collect 
>>>>mapEditor.mapEditor.throwingLine 的更新记录：Throwing Line  ---> Putting 
>>>>mapEditor.mapEditor.sowing 的更新记录：Seed  ---> Seed 
>>>>mapEditor.mapEditor.invalid 的更新记录：Disable  ---> Invalid 
>>>>mapEditor.mapEditor.effective 的更新记录：Enable  ---> Effective 
>>>>mapEditor.mapEditor.deleted 的更新记录：Deleted  ---> Deleted 
>>>>mapEditor.mapEditor.none 的更新记录：Null  ---> Null 
>>>>mapEditor.mapEditor.horizontalGuideLine 的更新记录：Horizontal Guide Line  ---> Horizontal Guide Line 
>>>>mapEditor.mapEditor.verticalGuideLine 的更新记录：Vertical Guide Line  ---> Vertical Guide Line 
>>>>mapEditor.mapEditor.parcelDeliver 的更新记录：Parcel Deliver  ---> Parcel Deliver 
>>>>mapEditor.mapEditor.groundCattleLocate 的更新记录：Ground Cattle Locate  ---> Ground Cattle Locate 
>>>>mapEditor.mapEditor.workbinFork 的更新记录：Workbin Fork  ---> Workbin Fork 
>>>>mapEditor.mapEditor.deviceInteraction 的更新记录：Device Interaction  ---> Device Interaction 
>>>>mapEditor.mapEditor.noLoad 的更新记录：Empty  ---> Empty 
>>>>mapEditor.mapEditor.allLoadTypes 的更新记录：Load  ---> Load 
>>>>mapEditor.mapEditor.load1 的更新记录：Load1  ---> Load1 
>>>>mapEditor.mapEditor.load2 的更新记录：Load2  ---> Load2 
>>>>mapEditor.mapEditor.load3 的更新记录：Load3  ---> Load3 
>>>>mapEditor.mapEditor.load4 的更新记录：Load4  ---> Load4 
>>>>mapEditor.mapEditor.load5 的更新记录：Load5  ---> Load5 
>>>>mapEditor.mapEditor.load6 的更新记录：Load6  ---> Load6 
>>>>mapEditor.mapEditor.load7 的更新记录：Load7  ---> Load7 
>>>>mapEditor.mapEditor.load8 的更新记录：Load8  ---> Load8 
>>>>mapEditor.mapEditor.notAllow 的更新记录：Not Allow  ---> Not Allow 
>>>>mapEditor.mapEditor.station 的更新记录：Workstation  ---> Workstation 
>>>>mapEditor.mapEditor.charger 的更新记录：Charger Pile  ---> Charger 
>>>>mapEditor.mapEditor.pillar 的更新记录：Pillar  ---> Pillar 
>>>>mapEditor.mapEditor.wall 的更新记录：Wall  ---> Wall 
>>>>mapEditor.mapEditor.allRobot 的更新记录：Robot Model - All  ---> Robot Model - All 
>>>>mapEditor.mapEditor.allLoad 的更新记录：Load status - all  ---> Load status - all 
>>>>mapEditor.mapEditor.check 的更新记录：Check  ---> Check 
>>>>mapEditor.mapEditor.detectionResult 的更新记录：Detection Result  ---> Detection Result 
>>>>mapEditor.mapEditor.no 的更新记录：No  ---> No 
>>>>mapEditor.mapEditor.yes 的更新记录：Yes  ---> Yes 
>>>>mapEditor.mapEditor.mapModification 的更新记录：Map Modification  ---> Map Modification 
>>>>mapEditor.mapEditor.forceDownload 的更新记录：Force Download  ---> Force Download 
>>>>mapEditor.mapEditor.forceRelease 的更新记录：Force Publish  ---> Force Publish 
>>>>mapEditor.mapEditor.isForceDownload 的更新记录：Force download or not?  ---> Force download or not? 
>>>>mapEditor.mapEditor.isForceRelease 的更新记录：Force publish or not?  ---> Force publish or not? 
>>>>mapEditor.mapEditor.downloadTip 的更新记录：Error: Map data check failed, please modify the map and download again  ---> Error: Map data check failed, please modify the map and download again 
>>>>mapEditor.mapEditor.publishTip 的更新记录：Error: Map data check failed, please modify the map and publish again  ---> Error: Map data check failed, please modify the map and publish again 
>>>>mapEditor.mapEditor.noValue 的更新记录：Empty  ---> Empty 
>>>>mapEditor.mapEditorEdit.title 的更新记录：Edit  ---> Edit 
