更新国际化文件地址: E:\Quicktcon\evo-amr\evo-rcs-web-dev\2.8.2\server-plugins\server-rcs-peripheral-plugin\config\locale\en-US.js: 
>>>>menu.device 的更新记录：Device Management  ---> Device Management 
>>>>rcsPeripheral.deviceEdit.equipmentCode 的更新记录：equipment code  ---> Equipment Code 
>>>>rcsPeripheral.deviceEdit.equipmentClassification 的更新记录：Equipment distinction  ---> Equipment Distinction 
>>>>rcsPeripheral.deviceEdit.state 的更新记录：Status  ---> Status 
>>>>rcsPeripheral.deviceEdit.enabled 的更新记录：Enabled Status  ---> Enabled Status 
>>>>rcsPeripheral.deviceEdit.outInWarehouseMode 的更新记录：In / out mode  ---> In / Out Mode 
>>>>rcsPeripheral.deviceEdit.carrierCapacity 的更新记录：Carrying capacity  ---> Carrying Capacity 
>>>>rcsPeripheral.deviceEdit.back 的更新记录：Return  ---> Return 
>>>>rcsPeripheral.deviceEdit.submit 的更新记录：Submit  ---> Submit 
>>>>rcsPeripheral.automatedPath.exportOperateAll 的更新记录：Export all  ---> Export All 
>>>>rcsPeripheral.automatedPath.exportOperate 的更新记录：Export  ---> Export 
>>>>rcsPeripheral.automatedPath.onlineState 的更新记录：system state  ---> System State 
>>>>rcsPeripheral.automatedPath.id 的更新记录：ID  ---> ID 
>>>>rcsPeripheral.automatedPath.startPointCode 的更新记录：Starting point code  ---> Starting Point Code 
>>>>rcsPeripheral.automatedPath.endPointEquipmentCode 的更新记录：Terminal equipment code  ---> Terminal Equipment Code 
>>>>rcsPeripheral.automatedPath.automatedPathCode 的更新记录：Automatic path code  ---> Automatic Path Code 
>>>>rcsPeripheral.automatedPath.warehouseId 的更新记录：warehouseId  ---> Warehouse ID 
>>>>rcsPeripheral.automatedPath.warehouseCode 的更新记录：Warehouse Code  ---> Warehouse Code 
>>>>rcsPeripheral.automatedPath.warehouseName 的更新记录：Warehouse Name  ---> Warehouse Name 
>>>>rcsPeripheral.automatedPath.enabled 的更新记录：Status  ---> Status 
>>>>rcsPeripheral.automatedPath.startWorkClassification 的更新记录：Start job differentiation  ---> Start Job Differentiation 
>>>>rcsPeripheral.automatedPath.startPointEquipmentId 的更新记录：Start device ID  ---> Start Device Id 
>>>>rcsPeripheral.automatedPath.startPointEquipmentCode 的更新记录：Starting equipment code  ---> Starting Equipment Code 
>>>>rcsPeripheral.automatedPath.startPointCommand 的更新记录：Start interactive instruction set  ---> Start Interactive Instruction Set 
>>>>rcsPeripheral.automatedPath.startPointRollbackMode 的更新记录：Start rollback mode  ---> Start Rollback Mode 
>>>>rcsPeripheral.automatedPath.endPointCode 的更新记录：end point code  ---> End Point Code 
>>>>rcsPeripheral.automatedPath.endWorkClassification 的更新记录：Terminal job differentiation  ---> Terminal Job Differentiation 
>>>>rcsPeripheral.automatedPath.endPointEquipmentId 的更新记录：End device ID  ---> End Device ID 
>>>>rcsPeripheral.automatedPath.endPointCommand 的更新记录：Terminal interaction instruction set  ---> Terminal Interaction Instruction Set 
>>>>rcsPeripheral.automatedPath.endPointRollbackMode 的更新记录：End rollback mode  ---> End Rollback Mode 
>>>>rcsPeripheral.automatedPath.state 的更新记录：Status  ---> Status 
>>>>rcsPeripheral.automatedPath.op 的更新记录：Operation  ---> Operate 
>>>>rcsPeripheral.automatedPath.op.delete 的更新记录：delete  ---> delete 
>>>>rcsPeripheral.automatedPath.op.edit 的更新记录：Edit  ---> Edit 
>>>>rcsPeripheral.autoDischargeCargo.exportOperateAll 的更新记录：Export all  ---> Export All 
>>>>rcsPeripheral.autoDischargeCargo.exportOperate 的更新记录：Export  ---> Export 
>>>>rcsPeripheral.autoDischargeCargo.onlineState 的更新记录：system state  ---> System State 
>>>>rcsPeripheral.autoDischargeCargo.pathId 的更新记录：ID  ---> ID 
>>>>rcsPeripheral.autoDischargeCargo.equipmentCode 的更新记录：Target equipment code  ---> Target Equipment Code 
>>>>rcsPeripheral.autoDischargeCargo.pointCode 的更新记录：Point code  ---> Point Code 
>>>>rcsPeripheral.autoDischargeCargo.agvPointCode 的更新记录：Robot direct entry point code  ---> Robot Direct Entry Point Code 
>>>>rcsPeripheral.autoDischargeCargo.warehouseId 的更新记录：warehouse id  ---> Warehouse ID 
>>>>rcsPeripheral.autoDischargeCargo.warehouseCode 的更新记录：Warehouse Code  ---> Warehouse Code 
>>>>rcsPeripheral.autoDischargeCargo.warehouseName 的更新记录：Warehouse Name  ---> Warehouse Name 
>>>>rcsPeripheral.autoDischargeCargo.equipmentId 的更新记录：Target device ID  ---> Target Device Id 
>>>>rcsPeripheral.autoDischargeCargo.state 的更新记录：Status  ---> Status 
>>>>rcsPeripheral.automatedPathEdit.title 的更新记录：Edit  ---> Edit 
>>>>rcsPeripheral.automatedPathEdit.op 的更新记录：Operation  ---> Operate 
>>>>rcsPeripheral.automatedPathEdit.op.edit 的更新记录：Edit  ---> Edit 
>>>>rcsPeripheral.automatedPathEdit.op.delete 的更新记录：delete  ---> delete 
>>>>rcsPeripheral.automatedPathEdit.back 的更新记录：Return  ---> Return 
>>>>rcsPeripheral.automatedPathEdit.submit 的更新记录：Submit  ---> Submit 
>>>>rcsPeripheral.automatedPathEdit.id 的更新记录：ID  ---> ID 
>>>>rcsPeripheral.automatedPathEdit.automatedPathCode 的更新记录：Automatic path code  ---> Automatic Path Code 
>>>>rcsPeripheral.automatedPathEdit.warehouseId 的更新记录：warehouseId  ---> Warehouse ID 
>>>>rcsPeripheral.automatedPathEdit.warehouseCode 的更新记录：Warehouse Code  ---> Warehouse Code 
>>>>rcsPeripheral.automatedPathEdit.warehouseName 的更新记录：Warehouse Name  ---> Warehouse Name 
>>>>rcsPeripheral.automatedPathEdit.enabled 的更新记录：Enabled Status  ---> Enabled Status 
>>>>rcsPeripheral.automatedPathEdit.startPointCode 的更新记录：Starting point code  ---> Starting Point Code 
>>>>rcsPeripheral.automatedPathEdit.startWorkClassification 的更新记录：Start job differentiation  ---> Start Job Differentiation 
>>>>rcsPeripheral.automatedPathEdit.startPointEquipmentId 的更新记录：Start device ID  ---> Start Device Id 
>>>>rcsPeripheral.automatedPathEdit.startPointEquipmentCode 的更新记录：Starting equipment code  ---> Starting Equipment Code 
>>>>rcsPeripheral.automatedPathEdit.startPointCommand 的更新记录：Start interactive instruction set  ---> Start Interactive Instruction Set 
>>>>rcsPeripheral.automatedPathEdit.startPointRollbackMode 的更新记录：Start rollback mode  ---> Start Rollback Mode 
>>>>rcsPeripheral.automatedPathEdit.endPointCode 的更新记录：end point code  ---> End Point Code 
>>>>rcsPeripheral.automatedPathEdit.endWorkClassification 的更新记录：Terminal job differentiation  ---> Terminal Job Differentiation 
>>>>rcsPeripheral.automatedPathEdit.endPointEquipmentId 的更新记录：End device ID  ---> End Device ID 
>>>>rcsPeripheral.automatedPathEdit.endPointCommand 的更新记录：Terminal interaction instruction set  ---> Terminal Interaction Instruction Set 
>>>>rcsPeripheral.automatedPathEdit.endPointRollbackMode 的更新记录：End rollback mode  ---> End Rollback Mode 
>>>>rcsPeripheral.automatedPathEdit.state 的更新记录：Effective status  ---> Valid Status 
>>>>rcsPeripheral.interactiveDevice.unknownReason 的更新记录：Unknown reason  ---> Unknown Reason 
>>>>rcsPeripheral.interactiveDevice.success 的更新记录：Operation succeeded  ---> Operate Successfully 
>>>>rcsPeripheral.interactiveDevice.add 的更新记录：New  ---> New 
>>>>rcsPeripheral.interactiveDevice.enable 的更新记录：Enable  ---> Enable 
>>>>rcsPeripheral.interactiveDevice.disable 的更新记录：Disable  ---> Disable 
>>>>rcsPeripheral.interactiveDevice.delete 的更新记录：Delete  ---> Delete 
>>>>rcsPeripheral.interactiveDevice.onlineState 的更新记录：System state  ---> System State 
>>>>rcsPeripheral.interactiveDevice.deviceBasicType 的更新记录：Equipment_type  ---> Equipment_Type 
>>>>rcsPeripheral.interactiveDevice.btn.import 的更新记录：Import  ---> Import 
>>>>rcsPeripheral.interactiveDevice.btn.template 的更新记录：Download import template  ---> Download Import Template 
>>>>rcsPeripheral.interactiveDevice.op 的更新记录：Operation  ---> Operate 
>>>>rcsPeripheral.interactiveDevice.op.view 的更新记录：View  ---> View 
>>>>rcsPeripheral.interactiveDevice.op.edit 的更新记录：Edit  ---> Edit 
>>>>rcsPeripheral.interactiveDevice.deviceCode 的更新记录：Device code  ---> Equipment Code 
>>>>rcsPeripheral.interactiveDevice.deviceName 的更新记录：Device name  ---> Equipment Name 
>>>>rcsPeripheral.interactiveDevice.deviceType 的更新记录：Device type  ---> Device Type 
>>>>rcsPeripheral.interactiveDevice.warehouse 的更新记录：Warehouse  ---> Belonging Warehouse 
>>>>rcsPeripheral.interactiveDevice.currentPosition 的更新记录：Current position  ---> Current Position 
>>>>rcsPeripheral.interactiveDevice.typeOfHandlingService 的更新记录：Handling service type  ---> Moving Service Type 
>>>>rcsPeripheral.interactiveDevice.enableState 的更新记录：Enabled Status  ---> Enabled Status 
>>>>rcsPeripheral.interactiveDevice.id 的更新记录：Device ID  ---> Device ID 
>>>>rcsPeripheral.interactiveDevice.warehouseId 的更新记录：WarehouseId  ---> Warehouse ID 
>>>>rcsPeripheral.interactiveDevice.warehouseCode 的更新记录：Warehouse code  ---> Warehouse Code 
>>>>rcsPeripheral.interactiveDevice.warehouseName 的更新记录：Warehouse name  ---> Warehouse Name 
>>>>rcsPeripheral.interactiveDevice.equipmentCode 的更新记录：Equipment code  ---> Equipment Code 
>>>>rcsPeripheral.interactiveDevice.equipmentClassification 的更新记录：Equipment distinction  ---> Equipment Distinction 
>>>>rcsPeripheral.interactiveDevice.equipmentName 的更新记录：Equipment name  ---> Equipment Name 
>>>>rcsPeripheral.interactiveDevice.enabled 的更新记录：Enabled Status  ---> Enabled Status 
>>>>rcsPeripheral.interactiveDevice.deleteModal.title 的更新记录：Batch delete  ---> Batch Delete 
>>>>rcsPeripheral.interactiveDeviceAdd.basicSetting 的更新记录：Basic configuration  ---> Basic Configuration 
>>>>rcsPeripheral.interactiveDeviceAdd.mapAssociated 的更新记录：Map associated  ---> Map Associated 
>>>>rcsPeripheral.interactiveDeviceAdd.deviceCode 的更新记录：Device code  ---> Equipment Code 
>>>>rcsPeripheral.interactiveDeviceAdd.deviceName 的更新记录：Device name  ---> Equipment Name 
>>>>rcsPeripheral.interactiveDeviceAdd.deviceType 的更新记录：Device type  ---> Device Type 
>>>>rcsPeripheral.interactiveDeviceAdd.enableState 的更新记录：Enabled Status  ---> Enabled Status 
>>>>rcsPeripheral.interactiveDeviceAdd.zone 的更新记录：Belongs warehouse  ---> Belonging Warehouse 
>>>>rcsPeripheral.interactiveDeviceAdd.whetherOnline 的更新记录：Whether online  ---> Whether Online 
>>>>rcsPeripheral.interactiveDeviceAdd.businessType 的更新记录：Business Type  ---> Business Type 
>>>>rcsPeripheral.interactiveDeviceAdd.subjectionDevice 的更新记录：Subjection device  ---> Subjection Device 
>>>>rcsPeripheral.interactiveDeviceAdd.agvTypeRestriction 的更新记录：AGV type restriction  ---> AGV Type Restriction 
>>>>rcsPeripheral.interactiveDeviceAdd.locationConfigurationMode 的更新记录：Location configuration mode  ---> Location Configuration Mode 
>>>>rcsPeripheral.interactiveDeviceAdd.currentPosition 的更新记录：Current position  ---> Current Position 
>>>>rcsPeripheral.interactiveDeviceAdd.ip 的更新记录：IP  ---> IP 
>>>>rcsPeripheral.interactiveDeviceAdd.communicationType 的更新记录：Communication protocol  ---> Communication Protocol 
>>>>rcsPeripheral.interactiveDeviceAdd.longLimit 的更新记录：Long limit  ---> Length limit 
>>>>rcsPeripheral.interactiveDeviceAdd.carryingCapacity 的更新记录：Carrying capacity  ---> Carrying Capacity 
>>>>rcsPeripheral.interactiveDeviceAdd.highLimit 的更新记录：High limit  ---> High Limit 
>>>>rcsPeripheral.interactiveDeviceAdd.wideLimit 的更新记录：Wide limit  ---> Wide Limit 
>>>>rcsPeripheral.interactiveDeviceAdd.numberOfFloorLevels 的更新记录：Number of floor levels  ---> Number Of Floor Levels 
>>>>rcsPeripheral.interactiveDeviceAdd.operationDirection 的更新记录：Operation direction  ---> Operation Direction 
>>>>rcsPeripheral.interactiveDeviceAdd.rules.max.message.deviceCode 的更新记录：Maximum length cannot exceed 30 digits  ---> Maximum length cannot exceed 30 digits 
>>>>rcsPeripheral.interactiveDeviceAdd.rules.max.message.deviceName 的更新记录：Maximum length cannot exceed 60 digits  ---> Maximum length cannot exceed 60 digits 
>>>>rcsPeripheral.interactiveDeviceAdd.rules.max.message.subjectionDevice 的更新记录：Maximum length cannot exceed 20 digits  ---> Maximum length cannot exceed 20 digits 
>>>>rcsPeripheral.interactiveDeviceAdd.rules.max.message.communicationType 的更新记录：Maximum length cannot exceed 20 digits  ---> Maximum length cannot exceed 20 digits 
>>>>rcsPeripheral.interactiveDeviceAdd.rules.max.message.ip 的更新记录：Maximum length cannot exceed 100 digits  ---> Maximum length cannot exceed 100 digits 
>>>>rcsPeripheral.interactiveDeviceAdd.return 的更新记录：Return  ---> Return 
>>>>rcsPeripheral.interactiveDeviceAdd.submit 的更新记录：Submit  ---> Submit 
>>>>rcsPeripheral.interactiveDeviceAdd.floorSet 的更新记录：Floor setting  ---> Floor Setting 
>>>>rcsPeripheral.interactiveDeviceAdd.deviceJumpSetting 的更新记录：Device jump setting  ---> Device Jump Setting 
>>>>rcsPeripheral.interactiveDeviceAdd.floor 的更新记录：Floor  ---> Floor 
>>>>rcsPeripheral.interactiveDeviceAdd.floorDescription 的更新记录：Floor description  ---> Floor Description 
>>>>rcsPeripheral.interactiveDeviceAdd.upToTheReservoir 的更新记录：Up to the reservoir  ---> Up To The Reservoir 
>>>>rcsPeripheral.interactiveDeviceAdd.exit 的更新记录：Exit  ---> Exit 
>>>>rcsPeripheral.interactiveDeviceAdd.entrance 的更新记录：Entrance  ---> Entrance 
>>>>rcsPeripheral.interactiveDeviceAdd.entryInteractionLocation 的更新记录：Entry interaction location  ---> Entry Interaction Location 
>>>>rcsPeripheral.interactiveDeviceAdd.exitInteractionLocation 的更新记录：Exit interaction location  ---> Exit Interaction Location 
>>>>rcsPeripheral.interactiveDeviceAdd.equipmentLocation 的更新记录：Equipment location  ---> Equipment Location 
>>>>rcsPeripheral.interactiveDeviceAdd.state 的更新记录：Status  ---> Status 
>>>>rcsPeripheral.interactiveDeviceAdd.initialLayer 的更新记录：Initial layer  ---> Initial Layer 
>>>>rcsPeripheral.interactiveDeviceAdd.targetLayer 的更新记录：Target layer  ---> Target Layer 
>>>>rcsPeripheral.interactiveDeviceAdd.initialLocation 的更新记录：Initial location  ---> Initial Location 
>>>>rcsPeripheral.interactiveDeviceAdd.targetLocation 的更新记录：Target location  ---> Target Location 
>>>>rcsPeripheral.interactiveDeviceAdd.interfaceType 的更新记录：Interface type  ---> Interface Type 
>>>>rcsPeripheral.interactiveDeviceAdd.startingPoint 的更新记录：Starting point interaction instruction set  ---> Start Interactive Instruction Set 
>>>>rcsPeripheral.interactiveDeviceAdd.op 的更新记录：Operation  ---> Operate 
>>>>rcsPeripheral.interactiveDeviceAdd.op.edit 的更新记录：Edit  ---> Edit 
>>>>rcsPeripheral.interactiveDeviceAdd.op.enable 的更新记录：Enable  ---> Enable 
>>>>rcsPeripheral.interactiveDeviceAdd.op.disable 的更新记录：Disable  ---> Disable 
>>>>rcsPeripheral.interactiveDeviceAdd.editFloor.title 的更新记录：Edit floor settings  ---> Edit Floor Settings 
>>>>rcsPeripheral.interactiveDeviceAdd.editDevice.title 的更新记录：Edit device jump settings  ---> Edit Device Jump Settings 
>>>>rcsPeripheral.interactiveDeviceEdit.basicSetting 的更新记录：Basic configuration  ---> Basic Configuration 
>>>>rcsPeripheral.interactiveDeviceEdit.mapAssociated 的更新记录：Map associated  ---> Map Associated 
>>>>rcsPeripheral.interactiveDeviceEdit.deviceCode 的更新记录：Device code  ---> Equipment Code 
>>>>rcsPeripheral.interactiveDeviceEdit.deviceName 的更新记录：Device name  ---> Equipment Name 
>>>>rcsPeripheral.interactiveDeviceEdit.deviceType 的更新记录：Device type  ---> Device Type 
>>>>rcsPeripheral.interactiveDeviceEdit.enableState 的更新记录：Enabled Status  ---> Enabled Status 
>>>>rcsPeripheral.interactiveDeviceEdit.zone 的更新记录：Belongs warehouse  ---> Belonging Warehouse 
>>>>rcsPeripheral.interactiveDeviceEdit.whetherOnline 的更新记录：Whether online  ---> Whether Online 
>>>>rcsPeripheral.interactiveDeviceEdit.businessType 的更新记录：Business Type  ---> Business Type 
>>>>rcsPeripheral.interactiveDeviceEdit.subjectionDevice 的更新记录：Subjection device  ---> Subjection Device 
>>>>rcsPeripheral.interactiveDeviceEdit.agvTypeRestriction 的更新记录：AGV type restriction  ---> AGV Type Restriction 
>>>>rcsPeripheral.interactiveDeviceEdit.locationConfigurationMode 的更新记录：Location configuration mode  ---> Location Configuration Mode 
>>>>rcsPeripheral.interactiveDeviceEdit.currentPosition 的更新记录：Current position  ---> Current Position 
>>>>rcsPeripheral.interactiveDeviceEdit.ip 的更新记录：IP  ---> IP 
>>>>rcsPeripheral.interactiveDeviceEdit.communicationType 的更新记录：Communication protocol  ---> Communication Protocol 
>>>>rcsPeripheral.interactiveDeviceEdit.longLimit 的更新记录：Long limit  ---> Length limit 
>>>>rcsPeripheral.interactiveDeviceEdit.carryingCapacity 的更新记录：Carrying capacity  ---> Carrying Capacity 
>>>>rcsPeripheral.interactiveDeviceEdit.highLimit 的更新记录：High limit  ---> High Limit 
>>>>rcsPeripheral.interactiveDeviceEdit.wideLimit 的更新记录：Wide limit  ---> Wide Limit 
>>>>rcsPeripheral.interactiveDeviceEdit.numberOfFloorLevels 的更新记录：Number of floor levels  ---> Number Of Floor Levels 
>>>>rcsPeripheral.interactiveDeviceEdit.operationDirection 的更新记录：Operation direction  ---> Operation Direction 
>>>>rcsPeripheral.interactiveDeviceEdit.rules.max.message.deviceCode 的更新记录：Maximum length cannot exceed 30 digits  ---> Maximum length cannot exceed 30 digits 
>>>>rcsPeripheral.interactiveDeviceEdit.rules.max.message.deviceName 的更新记录：Maximum length cannot exceed 60 digits  ---> Maximum length cannot exceed 60 digits 
>>>>rcsPeripheral.interactiveDeviceEdit.rules.max.message.subjectionDevice 的更新记录：Maximum length cannot exceed 60 digits  ---> Maximum length cannot exceed 60 digits 
>>>>rcsPeripheral.interactiveDeviceEdit.rules.max.message.communicationType 的更新记录：Maximum length cannot exceed 20 digits  ---> Maximum length cannot exceed 20 digits 
>>>>rcsPeripheral.interactiveDeviceEdit.rules.max.message.ip 的更新记录：Maximum length cannot exceed 100 digits  ---> Maximum length cannot exceed 100 digits 
>>>>rcsPeripheral.interactiveDeviceEdit.return 的更新记录：Return  ---> Return 
>>>>rcsPeripheral.interactiveDeviceEdit.submit 的更新记录：Submit  ---> Submit 
>>>>rcsPeripheral.interactiveDeviceEdit.floorSet 的更新记录：Floor setting  ---> Floor Setting 
>>>>rcsPeripheral.interactiveDeviceEdit.deviceJumpSetting 的更新记录：Device jump setting  ---> Device Jump Setting 
>>>>rcsPeripheral.interactiveDeviceEdit.floor 的更新记录：Floor  ---> Floor 
>>>>rcsPeripheral.interactiveDeviceEdit.floorDescription 的更新记录：Floor description  ---> Floor Description 
>>>>rcsPeripheral.interactiveDeviceEdit.upToTheReservoir 的更新记录：Up to the reservoir  ---> Up To The Reservoir 
>>>>rcsPeripheral.interactiveDeviceEdit.exit 的更新记录：Exit  ---> Exit 
>>>>rcsPeripheral.interactiveDeviceEdit.entrance 的更新记录：Entrance  ---> Entrance 
>>>>rcsPeripheral.interactiveDeviceEdit.entryInteractionLocation 的更新记录：Entry interaction location  ---> Entry Interaction Location 
>>>>rcsPeripheral.interactiveDeviceEdit.exitInteractionLocation 的更新记录：Exit interaction location  ---> Exit Interaction Location 
>>>>rcsPeripheral.interactiveDeviceEdit.equipmentLocation 的更新记录：Equipment location  ---> Equipment Location 
>>>>rcsPeripheral.interactiveDeviceEdit.state 的更新记录：Status  ---> Status 
>>>>rcsPeripheral.interactiveDeviceEdit.initialLayer 的更新记录：Initial layer  ---> Initial Layer 
>>>>rcsPeripheral.interactiveDeviceEdit.targetLayer 的更新记录：Target layer  ---> Target Layer 
>>>>rcsPeripheral.interactiveDeviceEdit.initialLocation 的更新记录：Initial location  ---> Initial Location 
>>>>rcsPeripheral.interactiveDeviceEdit.targetLocation 的更新记录：Target location  ---> Target Location 
>>>>rcsPeripheral.interactiveDeviceEdit.interfaceType 的更新记录：Interface type  ---> Interface Type 
>>>>rcsPeripheral.interactiveDeviceEdit.startingPoint 的更新记录：Starting point interaction instruction set  ---> Start Interactive Instruction Set 
>>>>rcsPeripheral.interactiveDeviceEdit.op 的更新记录：Operation  ---> Operate 
>>>>rcsPeripheral.interactiveDeviceEdit.op.edit 的更新记录：Edit  ---> Edit 
>>>>rcsPeripheral.interactiveDeviceEdit.op.enable 的更新记录：Enable  ---> Enable 
>>>>rcsPeripheral.interactiveDeviceEdit.op.disable 的更新记录：Disable  ---> Disable 
>>>>rcsPeripheral.interactiveDeviceEdit.editFloor.title 的更新记录：Edit floor settings  ---> Edit Floor Settings 
>>>>rcsPeripheral.interactiveDeviceEdit.editDevice.title 的更新记录：Edit device jump settings  ---> Edit Device Jump Settings 
>>>>rcsPeripheral.interactiveDeviceView.basicSetting 的更新记录：Basic configuration  ---> Basic Configuration 
>>>>rcsPeripheral.interactiveDeviceView.mapAssociated 的更新记录：Map associated  ---> Map Associated 
>>>>rcsPeripheral.interactiveDeviceView.deviceCode 的更新记录：Device code  ---> Equipment Code 
>>>>rcsPeripheral.interactiveDeviceView.deviceName 的更新记录：Device name  ---> Equipment Name 
>>>>rcsPeripheral.interactiveDeviceView.deviceType 的更新记录：Device type  ---> Device Type 
>>>>rcsPeripheral.interactiveDeviceView.enableState 的更新记录：Enabled Status  ---> Enabled Status 
>>>>rcsPeripheral.interactiveDeviceView.zone 的更新记录：Belongs warehouse  ---> Belonging Warehouse 
>>>>rcsPeripheral.interactiveDeviceView.whetherOnline 的更新记录：Whether online  ---> Whether Online 
>>>>rcsPeripheral.interactiveDeviceView.businessType 的更新记录：Business Type  ---> Business Type 
>>>>rcsPeripheral.interactiveDeviceView.subjectionDevice 的更新记录：Subjection device  ---> Subjection Device 
>>>>rcsPeripheral.interactiveDeviceView.agvTypeRestriction 的更新记录：AGV type restriction  ---> AGV Type Restriction 
>>>>rcsPeripheral.interactiveDeviceView.locationConfigurationMode 的更新记录：Location configuration mode  ---> Location Configuration Mode 
>>>>rcsPeripheral.interactiveDeviceView.currentPosition 的更新记录：Current position  ---> Current Position 
>>>>rcsPeripheral.interactiveDeviceView.ip 的更新记录：IP  ---> IP 
>>>>rcsPeripheral.interactiveDeviceView.communicationType 的更新记录：Communication protocol  ---> Communication Protocol 
>>>>rcsPeripheral.interactiveDeviceView.longLimit 的更新记录：Long limit  ---> Length limit 
>>>>rcsPeripheral.interactiveDeviceView.carryingCapacity 的更新记录：Carrying capacity  ---> Carrying Capacity 
>>>>rcsPeripheral.interactiveDeviceView.highLimit 的更新记录：High limit  ---> High Limit 
>>>>rcsPeripheral.interactiveDeviceView.wideLimit 的更新记录：Wide limit  ---> Wide Limit 
>>>>rcsPeripheral.interactiveDeviceView.numberOfFloorLevels 的更新记录：Number of floor levels  ---> Number Of Floor Levels 
>>>>rcsPeripheral.interactiveDeviceView.operationDirection 的更新记录：Operation direction  ---> Operation Direction 
>>>>rcsPeripheral.interactiveDeviceView.rules.max.message.deviceCode 的更新记录：Maximum length cannot exceed 30 digits  ---> Maximum length cannot exceed 30 digits 
>>>>rcsPeripheral.interactiveDeviceView.rules.max.message.deviceName 的更新记录：Maximum length cannot exceed 60 digits  ---> Maximum length cannot exceed 60 digits 
